Orden;Familia;Morro (A1);Morro (A2);Morro (A3);Tejar (A1);Tejar (A2);Tejar (A3);Penagos (A1);Penagos (A2);Penagos (A3);Morro (D1);Morro (D2);Morro (D3);Tejar (D1);Tejar (D2);Tejar (D3);Penagos (D1);Penagos (D2);Penagos (D3)
Tricoptera;Hydrobiosidae;3;0;0;4;5;7;14;1;3;15;1;3;2;2;19;20;17;5
Tricoptera;Helicopsychidae;1;7;2;0;7;13;2;0;17;1;2;3;0;7;9;0;0;10
Tricoptera;Glossosomatidae;0;0;0;0;0;0;27;21;0;0;0;0;0;0;0;5;11;0
Tricoptera;Calamoceratidae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
Tricoptera;Philopotamidae;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Tricoptera;Polycentropodidae;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Tricoptera;Xiphocentronidae;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;1;0
Tricoptera;Hydropsychidae;0;0;0;2;0;0;1;2;1;0;0;0;0;0;0;0;4;0
Tricoptera;Leptoceridae;3;1;11;0;2;9;8;2;1;1;0;80;1;3;13;10;2;1
Tricoptera;Odontoceridae;0;2;1;6;3;0;91;0;0;0;25;29;17;0;0;22;40;12
Tricoptera;Hydroptilidae;195;154;24;152;64;6;85;167;4;102;174;58;11;4;3;4;12;39
Diptera;Simuliidae;16;4;11;2;154;72;11;30;28;104;2;18;76;84;69;72;29;141
Diptera;Tipilidae;2;10;0;17;10;0;1;0;5;6;0;0;8;46;6;5;3;9
Diptera;Tabanidae;3;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0
Diptera;Ceratopogonidae;3;1;8;8;17;4;2;0;0;6;2;5;27;62;21;1;2;8
Diptera;Chironomidae;203;103;76;69;80;176;145;31;36;197;167;77;153;49;44;123;55;31
Diptera;Empididae;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1
Diptera;tanyderidae;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
Diptera;Blephariceridae;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;16
Ephemeroptera;Baetidae;117;72;121;41;36;146;106;82;38;86;37;73;95;31;136;199;77;99
Ephemeroptera;Leptophlebiidae;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;17;0
Ephemeroptera;Leptohyphidae;0;0;34;0;0;2;0;0;1;0;1;116;0;0;0;0;0;0
Plecoptera;Perlidae;0;0;0;1;0;0;0;1;7;0;0;0;0;0;0;0;0;0
Coleoptera;Elmidae;127;11;11;82;93;14;17;16;8;71;10;9;73;74;6;3;16;56
Basommatophora;Planorbidae;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Basommatophora;Physidae;4;9;0;20;7;5;0;0;0;8;3;0;5;1;0;0;0;0
Unionoidea;Unionidae;0;4;0;2;1;1;0;0;1;0;0;0;1;0;0;1;3;1
Tricladida;Planariidae;3;5;2;7;5;0;63;12;11;9;0;9;7;5;5;76;3;12
Amphipoda;Hyalellidae;33;7;4;47;43;11;47;105;110;35;9;0;51;59;5;87;47;42
"	Tubificida";Tubificidae;6;5;2;6;3;11;3;14;8;9;0;3;8;6;2;17;12;3
Acarinae; Hydrachnidae ;61;9;1;17;0;17;2;1;4;41;14;15;0;12;5;0;0;0
Collembola;;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
